co-founder1,co-founder2,organization name,country,google_search_query_founder1,google_search_query_founder2,co-founder1 linkedin profile,co-founder2 linkedin profile,co-founder1 cv,co-founder2 cv
Emad Ayyad,Kareem Ayyad,Teammates.ai,United Arab Emirates,site:linkedin.com/in Emad Ayyad Teammates.ai United Arab Emirates,site:linkedin.com/in Kareem Ayyad Teammates.ai United Arab Emirates,https://jo.linkedin.com/in/emad-ayyad-44343428,,,
Ahmed Hamad,Bassel Kabbabe,FunDok,United Arab Emirates,site:linkedin.com/in Ahmed Hamad FunDok United Arab Emirates,site:linkedin.com/in Bassel Kabbabe FunDok United Arab Emirates,,https://ae.linkedin.com/in/basselkabbabe,,
Siddharth Bhandari,,DepositBook,United Arab Emirates,site:linkedin.com/in Siddharth Bhandari DepositBook United Arab Emirates,,https://uk.linkedin.com/in/sid023,,,
Alexander Kappes,,Greener Crop,United Arab Emirates,site:linkedin.com/in Alexander Kappes Greener Crop United Arab Emirates,,https://ae.linkedin.com/in/alexander-m-kappes/en,,,
Mohammad Shalaby,,Med Reach FZCO,United Arab Emirates,site:linkedin.com/in Mohammad Shalaby Med Reach FZCO United Arab Emirates,,https://ae.linkedin.com/in/mohammad-shalaby-24758a16,,,
Peer Mohaideen Sait,,Training Calendar,United Arab Emirates,site:linkedin.com/in Peer Mohaideen Sait Training Calendar United Arab Emirates,,,,,
Rehna Hashim,Safath al salam,Travelmojo,United Arab Emirates,site:linkedin.com/in Rehna Hashim Travelmojo United Arab Emirates,site:linkedin.com/in Safath al salam Travelmojo United Arab Emirates,,https://ae.linkedin.com/in/safathalsalam?upsellOrderOrigin=default_guest_learning&trk=default_guest_learning,,
Cizar B. BRAHIM,,QRNSYS,United Arab Emirates,site:linkedin.com/in Cizar B. BRAHIM QRNSYS United Arab Emirates,,,,,
Purvashi Neema Doshi,Vaibhav Doshi,RentSher Middle East,United Arab Emirates,site:linkedin.com/in Purvashi Neema Doshi RentSher Middle East United Arab Emirates,site:linkedin.com/in Vaibhav Doshi RentSher Middle East United Arab Emirates,,https://ae.linkedin.com/in/doshivaibhav,,
Ali Al Omari,Wael Sasso,CarLogik,United Arab Emirates,site:linkedin.com/in Ali Al Omari CarLogik United Arab Emirates,site:linkedin.com/in Wael Sasso CarLogik United Arab Emirates,https://ae.linkedin.com/in/ali-f-omari,,,
Saber Ghaith,,VVIP,United Arab Emirates,site:linkedin.com/in Saber Ghaith VVIP United Arab Emirates,,https://ae.linkedin.com/in/saberghaith,,,
Aleksandr Naporchuk,Ilia Bulchenkov,Ibtikaroom,United Arab Emirates,site:linkedin.com/in Aleksandr Naporchuk Ibtikaroom United Arab Emirates,site:linkedin.com/in Ilia Bulchenkov Ibtikaroom United Arab Emirates,,,,
Alfonso Fernandez,Bader Althous,Ghinwa,United Arab Emirates,site:linkedin.com/in Alfonso Fernandez Ghinwa United Arab Emirates,site:linkedin.com/in Bader Althous Ghinwa United Arab Emirates,,,,
Ahmed El Assy,Ahmed Khairy,Gameball,United Arab Emirates,site:linkedin.com/in Ahmed El Assy Gameball United Arab Emirates,site:linkedin.com/in Ahmed Khairy Gameball United Arab Emirates,https://www.linkedin.com/in/ahmedelassy1/,,,
AlAmira Ebtissam AlBash,,CONSTAL,United Arab Emirates,site:linkedin.com/in AlAmira Ebtissam AlBash CONSTAL United Arab Emirates,,https://ae.linkedin.com/in/alamiraebtissam,,,
Veronica Ustinova,Zack Shatrov,Theeye,United Arab Emirates,site:linkedin.com/in Veronica Ustinova Theeye United Arab Emirates,site:linkedin.com/in Zack Shatrov Theeye United Arab Emirates,,,,
Mohamed Fouda,,Sketshare,United Arab Emirates,site:linkedin.com/in Mohamed Fouda Sketshare United Arab Emirates,,https://ae.linkedin.com/in/mohamed-fouda1765,,,
Denis Kurilin,Ilya Kurilin,Fotrum,United Arab Emirates,site:linkedin.com/in Denis Kurilin Fotrum United Arab Emirates,site:linkedin.com/in Ilya Kurilin Fotrum United Arab Emirates,,https://www.linkedin.com/in/ilya-kurilin/,,
Khadija Hasan,,KRISPR,United Arab Emirates,site:linkedin.com/in Khadija Hasan KRISPR United Arab Emirates,,https://ae.linkedin.com/in/khadija-hasan-967925103,,,
Ernesto Hermosillo,Luis A. Ramírez de la Barreda,Freela,United Arab Emirates,site:linkedin.com/in Ernesto Hermosillo Freela United Arab Emirates,site:linkedin.com/in Luis A. Ramírez de la Barreda Freela United Arab Emirates,https://mx.linkedin.com/in/astridchedid/en,,,
Michael Lvov,,E-Tips,United Arab Emirates,site:linkedin.com/in Michael Lvov E-Tips United Arab Emirates,,https://ae.linkedin.com/in/michael-lvov,,,
Luca Dayz,,BentleyRecords.io LLC,United Arab Emirates,site:linkedin.com/in Luca Dayz BentleyRecords.io LLC United Arab Emirates,,https://www.linkedin.com/in/lucadayz,,,
Reem Al Junaibi,,Tripp,United Arab Emirates,site:linkedin.com/in Reem Al Junaibi Tripp United Arab Emirates,,https://ae.linkedin.com/in/reemaljunaibi,,,
Ahamed Basim Basheer,,Sharkup,United Arab Emirates,site:linkedin.com/in Ahamed Basim Basheer Sharkup United Arab Emirates,,https://ae.linkedin.com/in/ahamedbasim,,,
Harvey Bennett,,Searchie,United Arab Emirates,site:linkedin.com/in Harvey Bennett Searchie United Arab Emirates,,,,,
Deepti Mohanty,,Vaasara Portal L.L.C.,United Arab Emirates,site:linkedin.com/in Deepti Mohanty Vaasara Portal L.L.C. United Arab Emirates,,,,,
Kamal Nazha,,Oulo,United Arab Emirates,site:linkedin.com/in Kamal Nazha Oulo United Arab Emirates,,https://uk.linkedin.com/in/kamalnazha,,,
Fadi Elghattis,,The Accounter,United Arab Emirates,site:linkedin.com/in Fadi Elghattis The Accounter United Arab Emirates,,https://ae.linkedin.com/in/fadielghattis,,,
Ramis Hashim,,Circles Smart healthcare,United Arab Emirates,site:linkedin.com/in Ramis Hashim Circles Smart healthcare United Arab Emirates,,https://uk.linkedin.com/in/prasanna-sooriakumaran-prof-ps-597a6b20,,,
Alexis Chiotis,Elena Chiotis,OnPro,United Arab Emirates,site:linkedin.com/in Alexis Chiotis OnPro United Arab Emirates,site:linkedin.com/in Elena Chiotis OnPro United Arab Emirates,https://ae.linkedin.com/in/salama-al-khumaisi-5a2926174,,,
Ahmed Khalid,Azzan Ishag,CoProvider,United Arab Emirates,site:linkedin.com/in Ahmed Khalid CoProvider United Arab Emirates,site:linkedin.com/in Azzan Ishag CoProvider United Arab Emirates,https://ae.linkedin.com/in/ahmed-khalid-567355163,,,
Avinash Wadhwa,Shakir Hussain,ICT Circle,United Arab Emirates,site:linkedin.com/in Avinash Wadhwa ICT Circle United Arab Emirates,site:linkedin.com/in Shakir Hussain ICT Circle United Arab Emirates,https://au.linkedin.com/in/sinduja-manokaran-6b946485,,,
Ayham Ghorani,Aziza Osman,Montiplay,United Arab Emirates,site:linkedin.com/in Ayham Ghorani Montiplay United Arab Emirates,site:linkedin.com/in Aziza Osman Montiplay United Arab Emirates,https://ae.linkedin.com/in/azizaosman,,,
Hussein Ahmed,,ZIQQI,United Arab Emirates,site:linkedin.com/in Hussein Ahmed ZIQQI United Arab Emirates,,https://www.linkedin.com/in/hussein-ahmed-02528045,,,
Abraham Thomas,Joby Mathew,boxit.co,United Arab Emirates,site:linkedin.com/in Abraham Thomas boxit.co United Arab Emirates,site:linkedin.com/in Joby Mathew boxit.co United Arab Emirates,https://ae.linkedin.com/in/preeth-thomas-49b00860,,,
Moemen El Zeiny,Mohamed Mokhlef,Meyahh,United Arab Emirates,site:linkedin.com/in Moemen El Zeiny Meyahh United Arab Emirates,site:linkedin.com/in Mohamed Mokhlef Meyahh United Arab Emirates,,https://ae.linkedin.com/in/mohamed-mokhlef,,
Alena Voronovich,Yury Reut,Web3Wed,United Arab Emirates,site:linkedin.com/in Alena Voronovich Web3Wed United Arab Emirates,site:linkedin.com/in Yury Reut Web3Wed United Arab Emirates,https://ae.linkedin.com/in/alena-voronovich,,,
Mohammad Taqi,,Qisat Co,United Arab Emirates,site:linkedin.com/in Mohammad Taqi Qisat Co United Arab Emirates,,,,,
Sheraz Majeed,,Aleh,United Arab Emirates,site:linkedin.com/in Sheraz Majeed Aleh United Arab Emirates,,https://ae.linkedin.com/in/sherazmajeed,,,
Elie Skaf,Mazen Mourad,Right Farm,United Arab Emirates,site:linkedin.com/in Elie Skaf Right Farm United Arab Emirates,site:linkedin.com/in Mazen Mourad Right Farm United Arab Emirates,,https://ae.linkedin.com/in/mazenmourad,,
Alisher Akbarov,Amal Abdullaev,Famic.io,United Arab Emirates,site:linkedin.com/in Alisher Akbarov Famic.io United Arab Emirates,site:linkedin.com/in Amal Abdullaev Famic.io United Arab Emirates,,,,
Imran Syed,,HAWQR,United Arab Emirates,site:linkedin.com/in Imran Syed HAWQR United Arab Emirates,,,,,
Kaoutar Abdallah,,Teachive,United Arab Emirates,site:linkedin.com/in Kaoutar Abdallah Teachive United Arab Emirates,,https://ae.linkedin.com/in/abdullah-almazmi-960476199,,,
Andrea Raimondi,Mauro Misino,Dress Up,United Arab Emirates,site:linkedin.com/in Andrea Raimondi Dress Up United Arab Emirates,site:linkedin.com/in Mauro Misino Dress Up United Arab Emirates,https://ie.linkedin.com/in/dedolan,,,
Hamza Khan,Omar Al Mheiri,Letswork,United Arab Emirates,site:linkedin.com/in Hamza Khan Letswork United Arab Emirates,site:linkedin.com/in Omar Al Mheiri Letswork United Arab Emirates,https://ae.linkedin.com/in/hamza-khan-b2414772,,,
Agustin Anfuso,,mutopi,United Arab Emirates,site:linkedin.com/in Agustin Anfuso mutopi United Arab Emirates,,,,,
Ekta Bhojwani,,eecrow,United Arab Emirates,site:linkedin.com/in Ekta Bhojwani eecrow United Arab Emirates,,,,,
Lojain Jibawi,Sawsan Saeed,Votek,United Arab Emirates,site:linkedin.com/in Lojain Jibawi Votek United Arab Emirates,site:linkedin.com/in Sawsan Saeed Votek United Arab Emirates,,https://ae.linkedin.com/in/sawsansaeed,,
Ibrahim Shaker,,Clevertrip,United Arab Emirates,site:linkedin.com/in Ibrahim Shaker Clevertrip United Arab Emirates,,,,,
Ioanna Angelidaki,John Tsioris,InstaShop,United Arab Emirates,site:linkedin.com/in Ioanna Angelidaki InstaShop United Arab Emirates,site:linkedin.com/in John Tsioris InstaShop United Arab Emirates,,https://ae.linkedin.com/in/johntsioris,,
Basel Anabtawi,,Rising Giants Network,United Arab Emirates,site:linkedin.com/in Basel Anabtawi Rising Giants Network United Arab Emirates,,https://ae.linkedin.com/in/baselanabtawi,,,
Ahmed Tameemi,Amrullah Mishelov,Outreal XR,United Arab Emirates,site:linkedin.com/in Ahmed Tameemi Outreal XR United Arab Emirates,site:linkedin.com/in Amrullah Mishelov Outreal XR United Arab Emirates,,,,
Areeba Khan,Farah Hashim,Taqwa Invest,United Arab Emirates,site:linkedin.com/in Areeba Khan Taqwa Invest United Arab Emirates,site:linkedin.com/in Farah Hashim Taqwa Invest United Arab Emirates,,https://jo.linkedin.com/in/mary-ennab,,
Amir A. Kolahzadeh,,IT SEC,United Arab Emirates,site:linkedin.com/in Amir A. Kolahzadeh IT SEC United Arab Emirates,,https://ae.linkedin.com/in/akolahzadeh,,,
Ajmal Salam,Aneesh Ajaya Kumar,Healine,United Arab Emirates,site:linkedin.com/in Ajmal Salam Healine United Arab Emirates,site:linkedin.com/in Aneesh Ajaya Kumar Healine United Arab Emirates,https://ae.linkedin.com/in/ashiqbilal,,,
Doug Potter,,1-mo,United Arab Emirates,site:linkedin.com/in Doug Potter 1-mo United Arab Emirates,,,,,
Paul Lalovich,,syntheticequity,United Arab Emirates,site:linkedin.com/in Paul Lalovich syntheticequity United Arab Emirates,,,,,
Bob Sabra,,Hovi,United Arab Emirates,site:linkedin.com/in Bob Sabra Hovi United Arab Emirates,,,,,
Andrey Makeev,Artem Gambitski,Flowwow,United Arab Emirates,site:linkedin.com/in Andrey Makeev Flowwow United Arab Emirates,site:linkedin.com/in Artem Gambitski Flowwow United Arab Emirates,,,,
Haytham Sultan Al ali,,TWADDAN,United Arab Emirates,site:linkedin.com/in Haytham Sultan Al ali TWADDAN United Arab Emirates,,,,,
Ali Jaradeh,,OjaBox,United Arab Emirates,site:linkedin.com/in Ali Jaradeh OjaBox United Arab Emirates,,,,,
Bishnu Dev Changkakoti,,insiderOne,United Arab Emirates,site:linkedin.com/in Bishnu Dev Changkakoti insiderOne United Arab Emirates,,https://www.linkedin.com/in/bishnu-dev-changkakoti-42a6a6237/,,,
Amir Hossein Ahmadi,Emad Fanaeian,illustory studio,United Arab Emirates,site:linkedin.com/in Amir Hossein Ahmadi illustory studio United Arab Emirates,site:linkedin.com/in Emad Fanaeian illustory studio United Arab Emirates,,https://www.linkedin.com/in/emad-fanaeian,,
Renish Thomas,,Fliptango,United Arab Emirates,site:linkedin.com/in Renish Thomas Fliptango United Arab Emirates,,,,,
Abeer Raza,Asim Rais Siddiqui,ServeEasy,United Arab Emirates,site:linkedin.com/in Abeer Raza ServeEasy United Arab Emirates,site:linkedin.com/in Asim Rais Siddiqui ServeEasy United Arab Emirates,,,,
Yaseen Alkaisi,,Grocless,United Arab Emirates,site:linkedin.com/in Yaseen Alkaisi Grocless United Arab Emirates,,,,,
Maksat Khobdabayev,,AqlCare,United Arab Emirates,site:linkedin.com/in Maksat Khobdabayev AqlCare United Arab Emirates,,,,,
Alexander Ingwersen,,Propchain,United Arab Emirates,site:linkedin.com/in Alexander Ingwersen Propchain United Arab Emirates,,,,,
Jamie Chittenden,Narcis Marian Ghidanac,Co-Own,United Arab Emirates,site:linkedin.com/in Jamie Chittenden Co-Own United Arab Emirates,site:linkedin.com/in Narcis Marian Ghidanac Co-Own United Arab Emirates,,https://ae.linkedin.com/in/narcisghidanac,,
Atif Kamal,Majid Khan Mohmand,QURB Services,United Arab Emirates,site:linkedin.com/in Atif Kamal QURB Services United Arab Emirates,site:linkedin.com/in Majid Khan Mohmand QURB Services United Arab Emirates,,https://se.linkedin.com/in/majidkhanmohmand,,
Sameera Devuruwan,,Platinum Access,United Arab Emirates,site:linkedin.com/in Sameera Devuruwan Platinum Access United Arab Emirates,,,,,
Artur Kobozev,Suzanna Kalendzhian,Legal Advice Middle East,United Arab Emirates,site:linkedin.com/in Artur Kobozev Legal Advice Middle East United Arab Emirates,site:linkedin.com/in Suzanna Kalendzhian Legal Advice Middle East United Arab Emirates,,https://ae.linkedin.com/in/suzannak,,
Craig McDonald,Harrison Jones,YallaParking,United Arab Emirates,site:linkedin.com/in Craig McDonald YallaParking United Arab Emirates,site:linkedin.com/in Harrison Jones YallaParking United Arab Emirates,,https://ae.linkedin.com/in/harrison-jones-ba9a4b46,,
Aya Sadder,,Why Bolt,United Arab Emirates,site:linkedin.com/in Aya Sadder Why Bolt United Arab Emirates,,,,,
Sam Shirazi Maqam,,GERIFIN,United Arab Emirates,site:linkedin.com/in Sam Shirazi Maqam GERIFIN United Arab Emirates,,,,,
Khaled Diab,,nefsy,United Arab Emirates,site:linkedin.com/in Khaled Diab nefsy United Arab Emirates,,,,,
Roman Vdovchenko,,growth.pet,United Arab Emirates,site:linkedin.com/in Roman Vdovchenko growth.pet United Arab Emirates,,,,,
Maksim Mershiev,,Avare Information Technology,United Arab Emirates,site:linkedin.com/in Maksim Mershiev Avare Information Technology United Arab Emirates,,,,,
Amol Panchal,,Retake,United Arab Emirates,site:linkedin.com/in Amol Panchal Retake United Arab Emirates,,,,,
Shehab Taha,,alaaqar.com,United Arab Emirates,site:linkedin.com/in Shehab Taha alaaqar.com United Arab Emirates,,,,,
Mohan Karuppiah,Omar Bin Brek,Foloosi,United Arab Emirates,site:linkedin.com/in Mohan Karuppiah Foloosi United Arab Emirates,site:linkedin.com/in Omar Bin Brek Foloosi United Arab Emirates,,https://ae.linkedin.com/in/omarbb,,
Hassan J. Saduzai,,eZhire,United Arab Emirates,site:linkedin.com/in Hassan J. Saduzai eZhire United Arab Emirates,,https://ae.linkedin.com/in/hassanjan,,,
Abdul Sameer,Jimmy James,PlantShop.me,United Arab Emirates,site:linkedin.com/in Abdul Sameer PlantShop.me United Arab Emirates,site:linkedin.com/in Jimmy James PlantShop.me United Arab Emirates,https://ae.linkedin.com/in/basameer,,,
Shoeb Syed,,StayRelive,United Arab Emirates,site:linkedin.com/in Shoeb Syed StayRelive United Arab Emirates,,https://ae.linkedin.com/in/syed1985,,,
Renjith Krishna,,SKKYN Technologies DMCC,United Arab Emirates,site:linkedin.com/in Renjith Krishna SKKYN Technologies DMCC United Arab Emirates,,,,,
Elie El Tom,,Yalla Pickup,United Arab Emirates,site:linkedin.com/in Elie El Tom Yalla Pickup United Arab Emirates,,https://lb.linkedin.com/in/elietom,,,
Adam Whitnall,David Irvine,Drive Ninja,United Arab Emirates,site:linkedin.com/in Adam Whitnall Drive Ninja United Arab Emirates,site:linkedin.com/in David Irvine Drive Ninja United Arab Emirates,https://ae.linkedin.com/in/adam-whitnall,,,
Tauqeer Malik,,Ussedpanda,United Arab Emirates,site:linkedin.com/in Tauqeer Malik Ussedpanda United Arab Emirates,,,,,
Bernard Diffley,,GTime,United Arab Emirates,site:linkedin.com/in Bernard Diffley GTime United Arab Emirates,,https://ae.linkedin.com/in/arnab-sengupta-677129197,,,
Benjamin De Terssac,Guillaume Arnaud,Carpool Arabia,United Arab Emirates,site:linkedin.com/in Benjamin De Terssac Carpool Arabia United Arab Emirates,site:linkedin.com/in Guillaume Arnaud Carpool Arabia United Arab Emirates,https://nl.linkedin.com/in/benjamindeterssac,,,
Jazel Oommen,,Bankr,United Arab Emirates,site:linkedin.com/in Jazel Oommen Bankr United Arab Emirates,,https://ae.linkedin.com/in/jazel-oommen-653071172,,,
Jomit Jose,Mozammil Khodabacchas,Storat,United Arab Emirates,site:linkedin.com/in Jomit Jose Storat United Arab Emirates,site:linkedin.com/in Mozammil Khodabacchas Storat United Arab Emirates,https://in.linkedin.com/in/shabana-nazeer-36a74a70,,,
Anthony Agoshkov,Dmitrii Shuzhin,Terminal.global,United Arab Emirates,site:linkedin.com/in Anthony Agoshkov Terminal.global United Arab Emirates,site:linkedin.com/in Dmitrii Shuzhin Terminal.global United Arab Emirates,https://ae.linkedin.com/in/anthony-agoshkov,,,
Tariq Coutermarsh,,Mediadodo,United Arab Emirates,site:linkedin.com/in Tariq Coutermarsh Mediadodo United Arab Emirates,,https://ae.linkedin.com/in/tariqcoutermarsh,,,
Abdullah Ebrahim,,Smartify,United Arab Emirates,site:linkedin.com/in Abdullah Ebrahim Smartify United Arab Emirates,,,,,
Gaurav Gupta,Supreet Raju,OneRare,United Arab Emirates,site:linkedin.com/in Gaurav Gupta OneRare United Arab Emirates,site:linkedin.com/in Supreet Raju OneRare United Arab Emirates,https://ae.linkedin.com/in/gauravgupta99,,,
Amogh Kamath,Sofia Chand,Up Your Game,United Arab Emirates,site:linkedin.com/in Amogh Kamath Up Your Game United Arab Emirates,site:linkedin.com/in Sofia Chand Up Your Game United Arab Emirates,https://ae.linkedin.com/in/amogh-kamath,,,
Angelo Vassiliades,,activity.me,United Arab Emirates,site:linkedin.com/in Angelo Vassiliades activity.me United Arab Emirates,,https://ae.linkedin.com/in/angelovassiliades,,,
Assaad Tarabay,Joey Ghazal,COCONUT,United Arab Emirates,site:linkedin.com/in Assaad Tarabay COCONUT United Arab Emirates,site:linkedin.com/in Joey Ghazal COCONUT United Arab Emirates,https://ae.linkedin.com/in/assaad-tarabay,,,
Anastasia Pashkovetskaya,,Globetrotter VR,United Arab Emirates,site:linkedin.com/in Anastasia Pashkovetskaya Globetrotter VR United Arab Emirates,,https://ae.linkedin.com/in/anastasia-pash,,,
Roman Gudkov,,GrandBazar,United Arab Emirates,site:linkedin.com/in Roman Gudkov GrandBazar United Arab Emirates,,,,,
Jonathan Doerr,,Smileneo,United Arab Emirates,site:linkedin.com/in Jonathan Doerr Smileneo United Arab Emirates,,https://ae.linkedin.com/in/dr-jonathan-doerr-60b0a334,,,
Rohan Mehta,Zeeshan Khan,LESGO,United Arab Emirates,site:linkedin.com/in Rohan Mehta LESGO United Arab Emirates,site:linkedin.com/in Zeeshan Khan LESGO United Arab Emirates,https://in.linkedin.com/in/rohan-mehta-182909136,,,
Mikhail Panarin,Rinat Kryukov,SkyPtoP,United Arab Emirates,site:linkedin.com/in Mikhail Panarin SkyPtoP United Arab Emirates,site:linkedin.com/in Rinat Kryukov SkyPtoP United Arab Emirates,,https://ae.linkedin.com/in/rinat-kryukov,,
Zaheer Nasser,Zain Sikafi,Doctoori Holdings Limited,United Arab Emirates,site:linkedin.com/in Zaheer Nasser Doctoori Holdings Limited United Arab Emirates,site:linkedin.com/in Zain Sikafi Doctoori Holdings Limited United Arab Emirates,,,,
Omar Khaled Bushnaq,,The Pantry Delivery Co LLC,United Arab Emirates,site:linkedin.com/in Omar Khaled Bushnaq The Pantry Delivery Co LLC United Arab Emirates,,,,,
Yacoub Nuseibeh,,NOORAI,United Arab Emirates,site:linkedin.com/in Yacoub Nuseibeh NOORAI United Arab Emirates,,,,,
Stefanie Schachtschabel,,Welcome to the World,United Arab Emirates,site:linkedin.com/in Stefanie Schachtschabel Welcome to the World United Arab Emirates,,https://nl.linkedin.com/in/stefanieschachtschabel,,,
Steven Marc Bradford,,TOWA,United Arab Emirates,site:linkedin.com/in Steven Marc Bradford TOWA United Arab Emirates,,,,,
Noufal Puzhangarayillath,,Meem Connect Loyalty Card Services LLC,United Arab Emirates,site:linkedin.com/in Noufal Puzhangarayillath Meem Connect Loyalty Card Services LLC United Arab Emirates,,,,,
Aleksei Dolgikh,Olga Nayda,Gloc.al,United Arab Emirates,site:linkedin.com/in Aleksei Dolgikh Gloc.al United Arab Emirates,site:linkedin.com/in Olga Nayda Gloc.al United Arab Emirates,https://www.linkedin.com/in/alexdolbun,,,
Mahmoud Adham,,Munchbox,United Arab Emirates,site:linkedin.com/in Mahmoud Adham Munchbox United Arab Emirates,,https://ae.linkedin.com/in/mahmoud-adham,,,
Kimberly Kelaita,Rasha Nashaat,Listaproperty,United Arab Emirates,site:linkedin.com/in Kimberly Kelaita Listaproperty United Arab Emirates,site:linkedin.com/in Rasha Nashaat Listaproperty United Arab Emirates,,https://ae.linkedin.com/in/rasha-nashaat-0a2064131,,
Shahin Avthal,,Babystore,United Arab Emirates,site:linkedin.com/in Shahin Avthal Babystore United Arab Emirates,,,,,
Manoj Sasidharan,,Mjmellies Middle East FZE,United Arab Emirates,site:linkedin.com/in Manoj Sasidharan Mjmellies Middle East FZE United Arab Emirates,,,,,
Alaa Khalil,Mohamed Lotfy,Drowzy,United Arab Emirates,site:linkedin.com/in Alaa Khalil Drowzy United Arab Emirates,site:linkedin.com/in Mohamed Lotfy Drowzy United Arab Emirates,https://www.linkedin.com/in/aboshamah/,,,
Salman S.,,eListGuy,United Arab Emirates,site:linkedin.com/in Salman S. eListGuy United Arab Emirates,,https://qa.linkedin.com/in/shadab-riaz-5ba47837,,,
Ali Cagatay Ozcan,Kerem Kuyucu,Justlife,United Arab Emirates,site:linkedin.com/in Ali Cagatay Ozcan Justlife United Arab Emirates,site:linkedin.com/in Kerem Kuyucu Justlife United Arab Emirates,https://ae.linkedin.com/in/ali-cagatay-ozcan-252aba16,,,
Jazeer Jamal,,Eddy,United Arab Emirates,site:linkedin.com/in Jazeer Jamal Eddy United Arab Emirates,,https://www.linkedin.com/in/sylvana-abi-khalil-99b77829,,,
Naman Kamra,,Jump Advisor,United Arab Emirates,site:linkedin.com/in Naman Kamra Jump Advisor United Arab Emirates,,,,,
Zafar Imran,,ZiCON Cloud,United Arab Emirates,site:linkedin.com/in Zafar Imran ZiCON Cloud United Arab Emirates,,https://www.linkedin.com/in/zafar-imran-248b121/,,,
Deepan Eswar,,Wowlyst,United Arab Emirates,site:linkedin.com/in Deepan Eswar Wowlyst United Arab Emirates,,,,,
Bandar Alsharfi,Mohanad Fors,IDF3 Crypto Inc.,United Arab Emirates,site:linkedin.com/in Bandar Alsharfi IDF3 Crypto Inc. United Arab Emirates,site:linkedin.com/in Mohanad Fors IDF3 Crypto Inc. United Arab Emirates,,,,
Payam Honari,,Adasat,United Arab Emirates,site:linkedin.com/in Payam Honari Adasat United Arab Emirates,,https://ae.linkedin.com/in/payam-honari,,,
Akram El Youssi,,InstaVal,United Arab Emirates,site:linkedin.com/in Akram El Youssi InstaVal United Arab Emirates,,https://ae.linkedin.com/in/akramelyoussi,,,
Aliaksandr Shyshuk,,Brapper,United Arab Emirates,site:linkedin.com/in Aliaksandr Shyshuk Brapper United Arab Emirates,,https://ae.linkedin.com/in/aliaksandrshyshuk,,,
Yury Shishkin,,24TTL,United Arab Emirates,site:linkedin.com/in Yury Shishkin 24TTL United Arab Emirates,,https://ae.linkedin.com/in/shishkiny,,,
Serag Meneassy,Taymour Sabry,Botler,United Arab Emirates,site:linkedin.com/in Serag Meneassy Botler United Arab Emirates,site:linkedin.com/in Taymour Sabry Botler United Arab Emirates,https://ae.linkedin.com/in/manoj-gopinath-a8161415,,,
Abdul Rouf Wani,Kashif Ahmad Khan,ConstructionSouq.com,United Arab Emirates,site:linkedin.com/in Abdul Rouf Wani ConstructionSouq.com United Arab Emirates,site:linkedin.com/in Kashif Ahmad Khan ConstructionSouq.com United Arab Emirates,,,,
Alex Garcia,Josef Holm,Rewardable,United Arab Emirates,site:linkedin.com/in Alex Garcia Rewardable United Arab Emirates,site:linkedin.com/in Josef Holm Rewardable United Arab Emirates,,https://ae.linkedin.com/in/josefholm,,
Unni Sukumaran,,West End Consultancy,United Arab Emirates,site:linkedin.com/in Unni Sukumaran West End Consultancy United Arab Emirates,,,,,
Safath al salam,,Media Leads LLC,United Arab Emirates,site:linkedin.com/in Safath al salam Media Leads LLC United Arab Emirates,,https://ae.linkedin.com/in/safathalsalam?upsellOrderOrigin=default_guest_learning&trk=default_guest_learning,,,
Jyoti Bahirwani Goyal,Vikram Goyal,LetMySpace.com,United Arab Emirates,site:linkedin.com/in Jyoti Bahirwani Goyal LetMySpace.com United Arab Emirates,site:linkedin.com/in Vikram Goyal LetMySpace.com United Arab Emirates,,https://uk.linkedin.com/in/vikram-goyal-unesta,,
Ben Samuel,Neha Samuel,Fit On Click,United Arab Emirates,site:linkedin.com/in Ben Samuel Fit On Click United Arab Emirates,site:linkedin.com/in Neha Samuel Fit On Click United Arab Emirates,https://ae.linkedin.com/in/ben-samuel-57a89642,,,
Faraz Khan,,souKare,United Arab Emirates,site:linkedin.com/in Faraz Khan souKare United Arab Emirates,,https://ae.linkedin.com/in/farazkhanlive,,,
Madan Kumar,,Yovza,United Arab Emirates,site:linkedin.com/in Madan Kumar Yovza United Arab Emirates,,https://ae.linkedin.com/in/theonlyfounder?trk=public_profile_samename-profile,,,
Asim Jamil,M Ummer Malik,Qareeb Technologies FZ-LLC,United Arab Emirates,site:linkedin.com/in Asim Jamil Qareeb Technologies FZ-LLC United Arab Emirates,site:linkedin.com/in M Ummer Malik Qareeb Technologies FZ-LLC United Arab Emirates,,,,
Ahmed Shabrawy,Karim Khorshed,CEQUENS,United Arab Emirates,site:linkedin.com/in Ahmed Shabrawy CEQUENS United Arab Emirates,site:linkedin.com/in Karim Khorshed CEQUENS United Arab Emirates,,https://ae.linkedin.com/in/karimkhorshed,,
Rohan Goel,Sudeep DSouza,Campusbees,United Arab Emirates,site:linkedin.com/in Rohan Goel Campusbees United Arab Emirates,site:linkedin.com/in Sudeep DSouza Campusbees United Arab Emirates,,,,
Stavros Antypas,,Tawahadna,United Arab Emirates,site:linkedin.com/in Stavros Antypas Tawahadna United Arab Emirates,,https://ae.linkedin.com/in/stavros-antypas-29915b170,,,
Shan Jamshed Khan,,SalaamUAE.com,United Arab Emirates,site:linkedin.com/in Shan Jamshed Khan SalaamUAE.com United Arab Emirates,,,,,
